_key,blue,finish,finishTime,green,red,startTime,yellow
-MjPj96xwKfYRifptRce,false,false,0,false,false,1631462400508,false
-MjPj974poWT8NYSeG4w,true,false,0,true,true,1631462400514,true
-MjPj9Nvp2y9G7Gb7ene,true,true,1631466325165,true,true,1631462401789,true
-MjPj9PzglUe8z6-b892,false,false,0,true,false,1631462400869,true
-MjPj9_sUxcExt2fnT3L,true,true,1631465969299,true,true,1631462402443,true
-MjPj9aAVobTDbBKHtJk,true,true,1631471114296,true,true,1631462402440,true
-MjPj9cexgK15IpFpP8t,true,true,1631465707988,true,true,1631462401453,true
-MjPj9cgOzW8FQB0GYzd,true,true,1631468621332,true,true,1631462402638,true
-MjPj9i2c_oskDnFIaHd,true,true,1631465854850,true,true,1631462401859,true
-MjPj9jLNvS2qhDPOnXX,true,true,1631468836590,true,true,1631462403027,true
-MjPj9knVtzIVkWUseaa,true,true,1631466909118,true,true,1631462402998,true
-MjPj9vJHnCdOIAnBlTS,true,false,0,true,true,1631462403799,true
-MjPjA6ZRaPMHTHnQ_nB,true,true,1631465867260,true,true,1631462402856,true
-MjPjA9GHsGI4NrPSSE4,false,false,0,false,false,1631462405608,false
-MjPjAAVj7suRtV9HYZo,true,true,1631464715021,true,true,1631462404094,true
-MjPjAFAbabAenwi7PIa,false,false,0,false,false,1631462405134,false
-MjPjAP9qEH_nJn4oQzY,true,true,1631468013050,true,true,1631462405769,true
-MjPjAPSWcZ8IEdkcn-s,true,true,1631465900205,true,true,1631462405736,true
-MjPjATLEN543yAMtCcm,true,true,1631465345432,true,true,1631462406036,true
-MjPjAXev78uo6kDMEBq,false,false,0,false,false,1631462406353,false
-MjPjAhmER_BK2pmN-0z,true,true,1631466306606,true,true,1631462406934,true
-MjPjAmlQAz75gVs_mZZ,true,true,1631464939782,true,true,1631462407322,true
-MjPjAwycIsT8cjebqQa,true,true,1631466222071,true,true,1631462408023,true
-MjPjBbuZlP5TdF_0JpE,true,true,1631466887183,true,true,1631462410776,true
-MjPjBnDmfswrW_z_EYC,false,false,0,false,false,1631462411019,false
-MjPjC59-wTC7BizBOXc,true,true,1631466242021,true,true,1631462413239,true
-MjPjD0WZy3aJT1K71mz,true,true,1631465566992,true,true,1631462416480,true
-MjPjDYkJuJWSP7oALPy,true,true,1631467681195,true,true,1631462418736,true
-MjPjEmNPf8-1bkAQRKZ,true,true,1631466226921,true,true,1631462423741,true
-MjPjF_pSmwiPf4dlLIN,true,false,0,true,true,1631462426899,true
-MjPjK79wAGvMzi4OqdN,true,true,1631465445210,true,true,1631462445613,true
-MjPjM0mfKJujLhmgp08,true,true,1631470140021,true,true,1631462453360,true
-MjPjMCBOpwF_v6R6V4a,true,false,0,false,true,1631462454089,true
-MjPjMQrAFEAise_jFg0,true,true,1631471477622,true,true,1631462452962,true
-MjPjMrMte-dTmmLYpL2,true,true,1631467145586,true,true,1631462454995,true
-MjPjNwnZEvPStD5TFKF,false,false,0,false,false,1631462461268,false
-MjPjNxbtHTlXFOx8GB8,false,false,0,false,false,1631462461297,false
-MjPjO3BHWIVH78MurHQ,false,false,0,false,false,1631462461732,false
-MjPjOEVEAZLbr_F3uG-,false,false,0,false,false,1631462462456,false
-MjPjQtPumCuPhzptLB_,true,true,1631467218280,true,true,1631462473229,true
-MjPjS2eNeuxMIpqPQLx,true,true,1631467405763,true,true,1631462478083,true
-MjPjSK0kUC1-6hYbior,true,true,1631468007802,true,true,1631462479096,true
-MjPjSZV_uEhmSfsVRPV,false,false,0,true,true,1631462480039,false
-MjPjStrBvtCkAgxUqLS,true,false,0,true,true,1631462480156,true
-MjPjTkU1H9DUOLkGByi,false,false,0,false,false,1631462484961,false
-MjPjW94C_2ae1Qv0WdG,false,false,0,false,false,1631462494369,false
-MjPjWSlNQvKnuXtjeml,false,false,0,false,false,1631462496093,false
-MjPjXTj_v-5cRSEJFb4,false,false,0,false,false,1631462500372,false
-MjPjYeT0cyybRJ17IVA,true,true,1631468150081,true,true,1631462505145,true
-MjPjcGUR6167HL1lXFb,true,true,1631468547071,true,true,1631462524016,true
-MjPjdbryPK29ZdM9hDW,false,false,0,false,false,1631462529573,false
-MjPjuIEkapeYjkNDcIZ,false,false,0,false,false,1631462597833,false
-MjPjuIozlEK6lFiBgo6,false,false,0,false,false,1631462596115,false
-MjPjwM3hx411sEhO9CX,false,false,0,false,false,1631462606275,false
-MjPk3fv__Ga_XbQbwSu,false,false,0,false,true,1631462639517,true
-MjPk3oz5ChozdGagkY3,true,false,0,true,true,1631462641004,true
-MjPkC8z-2sRZpEfVlo3,true,false,0,true,true,1631462674352,true
-MjPkN5vToWS-ujOCBC4,true,true,1631467331984,true,true,1631462719906,true
-MjPkk57X43QBMmOh7Oe,false,false,0,false,false,1631462817654,false
-MjPknAhhCDMbR4kYImx,false,false,0,false,false,1631462830801,false
-MjPkrAQ-mImMc0EDa-Z,false,false,0,false,false,1631462845744,false
-MjPlFspTU8tB1AAfVu6,true,true,1631466987706,true,true,1631462952005,true
-MjPlXeQ5t84gYflksqi,true,true,1631470095103,true,true,1631463025264,true
-MjPlmjdo692LuAzgZ9n,false,false,0,false,false,1631463090286,false
-MjPm7WaCvq_t0kX1AOZ,true,true,1631469082890,true,true,1631463180413,true
-MjPm9Pnoowdl6bicci9,true,false,0,true,true,1631463188174,true
-MjPmF7HZ2XXcc4NmC51,false,false,0,false,false,1631463209762,false
-MjPmHjN-KuSok2IzdRB,true,true,1631466790712,true,true,1631463220960,true
-MjPmSIPllyoF-YSPtu0,true,true,1631470187975,true,true,1631463264531,true
-MjPmU2Vb22A58DcCDlX,false,false,0,false,false,1631463272525,false
-MjPmXGMGaW09kXyM1zL,true,true,1631466797922,true,true,1631463285985,true
-MjPnCKLzocSNUtFa2fx,true,true,1631467374055,true,true,1631463462230,true
-MjPnDGT_EXcqtaHuFUH,true,true,1631470067939,true,true,1631463464410,true
-MjPw-5DwXcqch-OF2PL,false,false,0,false,false,1631465765995,true
-MjPwEsWwAwsLzkCJ-2N,false,false,0,false,false,1631465831967,false
