sca,place,number,name,time,complete
4,0,32,Johnathan,0,FALSE
4,1,141,Dale Chippendale,12:45:53,TRUE
4,2,30,High Grade,12:49:44,TRUE
4,3,20,Jamie,12:50:35,TRUE
4,4,7,Oranje,12:51:43,TRUE
4,5,1,,12:52:52,TRUE
4,6,37,,12:52:59,TRUE
4,7,10,Phil,12:55:49,TRUE
4,8,36,Tom,12:56:49,TRUE
4,9,143,Jordan G.,12:57:29,TRUE
4,10,110,Not Really,12:58:44,TRUE
4,11,39,Robert,13:00:37,TRUE
4,12,145,Where's Ali (found),13:01:38,TRUE
4,13,28,Punk Rock Barbie,13:01:42,TRUE
4,15,147,Team Shepherd,13:01:59,TRUE
4,14,41,Johnathon,13:02:18,TRUE
4,16,5,Terry & Pam,13:03:07,TRUE
4,17,47,Raf,13:03:33,TRUE
4,18,144,Rainy Day,13:04:40,TRUE
4,20,14,Alumimum & Carbon City (John),13:04:42,TRUE
4,19,15,80s Brunch,13:04:43,TRUE
4,21,2,SoBiSexual,13:04:50,TRUE
4,22,12,AL's Pals,13:06:35,TRUE
4,23,4,AL's Pals,13:06:35,TRUE
4,24,35,Juniper & the Jimmies,13:07:14,TRUE
4,25,3,Team Cherry & the Tandem,13:08:20,TRUE
4,26,36,,13:08:48,TRUE
4,27,19,Orange (mostly orange),13:08:55,TRUE
4,29,27,It's up to you,13:12:00,TRUE
4,28,44,Team J. Dawgggg,13:12:43,TRUE
4,30,127,Grass Touchers,13:13:50,TRUE
4,31,24,Too Busy Biking,13:16:04,TRUE
4,32,38,Zach,13:16:58,TRUE
4,33,148,Bitches,13:18:15,TRUE
4,34,129,Track Dawg,13:18:22,TRUE
4,35,34,Pulling Sadie,13:18:27,TRUE
4,36,7,Lightning McQueen,13:19:03,TRUE
4,37,21,MTBD Dub (tandem),13:19:12,TRUE
4,38,43,,13:19:28,TRUE
4,39,142,Cirque du velos,13:19:38,TRUE
4,40,131,Lost KOMs,13:20:36,TRUE
4,41,148,,13:20:41,TRUE
4,42,132,Z & N,13:21:02,TRUE
4,43,128,Manifest Dion (Chris & Jack),13:21:27,TRUE
4,44,6,Aaron,13:22:06,TRUE
4,45,25,Victory Blue,13:22:43,TRUE
4,46,23,Ash,13:22:54,TRUE
4,47,22,Camron & Devon,13:22:56,TRUE
4,48,33,Ducktectives,13:24:36,TRUE
4,49,13,Steven,13:26:02,TRUE
4,50,46,Hell Riderz,13:28:48,TRUE
4,51,42,Wagners Collective,13:32:33,TRUE
4,52,29,Flat & tired,13:37:31,TRUE
4,53,26,Oh!,13:43:42,TRUE
4,54,45,Sparkle Motion,14:09:36,TRUE
4,55,137,Team Turtle,14:10:43,TRUE
3,1,21,Squeak76,12:33:01,TRUE
3,2,31,Fredhead,12:34:56,TRUE
3,3,33,Jonathan,12:36:16,TRUE
3,4,18,"Ryan, still riding OranjeFixie",12:36:20,TRUE
3,5,13,TEAM NorthSpeedCycle,12:39:40,TRUE
3,6,8,Sharpieguy,12:44:01,TRUE
3,7,22,Jbob 420,12:44:50,TRUE
3,8,61,Reid The Speed,12:44:55,TRUE
3,9,35,The Bald and the Beautiful,12:50:08,TRUE
3,10,30,Jdavey,12:50:31,TRUE
3,11,48,SoBisexual,12:51:24,TRUE
3,12,45,Flying voles,12:53:36,TRUE
3,13,10,Worst Pace Scenario,12:53:43,TRUE
3,14,23,Chasing Tail (winds),12:54:13,TRUE
3,15,7,"Craig, from the grave",12:54:15,TRUE
3,16,25,Adam,12:54:30,TRUE
3,17,1,The Biking Lawyer,12:55:52,TRUE
3,18,51,evan SZczucinski,12:55:53,TRUE
3,19,15,Dirty Duff Divers,13:01:04,TRUE
3,20,27,Mike J,13:02:16,TRUE
3,21,56,Erin and Drew,13:02:56,TRUE
3,22,17,Surly farmer,13:03:20,TRUE
3,23,26,Rat King,13:03:47,TRUE
3,24,29,Mortal Kombat,13:05:34,TRUE
3,25,2,"Katherine, Brenden, Jake",13:05:44,TRUE
3,26,9,Edugan,13:06:25,TRUE
3,27,41,,13:09:05,TRUE
3,28,24,Veld Crew,13:12:22,TRUE
3,29,36,Mich,13:18:41,TRUE
